extension,char,codepoint
Extension A,㛥,U+36E5
Extension A,㛬,U+36EC
Extension A,䁁,U+4041
Extension A,㻠,U+3EE0
Extension A,䬴,U+4B34
Extension A,䦭,U+49AD
Extension A,䳩,U+4CE9
Extension A,㝋,U+374B
Extension A,䒌,U+448C
Extension A,䅙,U+4159
Extension A,㰐,U+3C10
Extension A,㫁,U+3AC1
Extension A,䫀,U+4AC0
Extension A,䔁,U+4501
Extension A,㭭,U+3B6D
Extension A,䴡,U+4D21
Extension A,䥓,U+4953
Extension A,㪶,U+3AB6
Extension A,䜾,U+473E
Extension A,㔞,U+351E
Extension A,㜶,U+3736
Extension A,㤿,U+393F
Extension A,䢙,U+4899
Extension A,㜡,U+3721
Extension A,䑣,U+4463
Extension A,䆻,U+41BB
Extension A,㤐,U+3910
Extension A,䘉,U+4609
Extension A,㭃,U+3B43
Extension A,㝸,U+3778
Extension A,䄅,U+4105
Extension A,㥌,U+394C
Extension A,㽅,U+3F45
Extension A,䝪,U+476A
Extension A,㷉,U+3DC9
Extension A,㧴,U+39F4
Extension A,䈋,U+420B
Extension A,䧑,U+49D1
Extension A,䢛,U+489B
Extension A,䇩,U+41E9
Extension A,㑟,U+345F
Extension A,䭪,U+4B6A
Extension A,㞥,U+37A5
Extension A,㖅,U+3585
Extension A,䮓,U+4B93
Extension A,㢘,U+3898
Extension A,䯆,U+4BC6
Extension A,㽙,U+3F59
Extension A,㟱,U+37F1
Extension A,㻫,U+3EEB
Extension A,㘬,U+362C
Extension A,䦌,U+498C
Extension A,㸍,U+3E0D
Extension A,㭦,U+3B66
Extension A,㡻,U+387B
Extension A,㻴,U+3EF4
Extension A,㪰,U+3AB0
Extension A,㩖,U+3A56
Extension A,㨀,U+3A00
Extension A,㺬,U+3EAC
Extension A,㳥,U+3CE5
Extension A,㹊,U+3E4A
Extension A,㦄,U+3984
Extension A,䵝,U+4D5D
Extension A,䌎,U+430E
Extension A,㱒,U+3C52
Extension A,䴂,U+4D02
Extension A,䞙,U+4799
Extension A,㭿,U+3B7F
Extension A,䨱,U+4A31
Extension A,䃭,U+40ED
Extension A,䒋,U+448B
Extension A,䖘,U+4598
Extension A,㨫,U+3A2B
Extension A,㫹,U+3AF9
Extension A,㛱,U+36F1
Extension A,㑼,U+347C
Extension A,㲴,U+3CB4
Extension A,㬲,U+3B32
Extension A,䳆,U+4CC6
Extension A,䃽,U+40FD
Extension A,䅎,U+414E
Extension A,㢓,U+3893
Extension A,㹡,U+3E61
Extension A,䖊,U+458A
Extension A,㾂,U+3F82
Extension A,㜠,U+3720
Extension A,䤻,U+493B
Extension A,㨳,U+3A33
Extension A,㝌,U+374C
Extension A,䫏,U+4ACF
Extension A,䢦,U+48A6
Extension A,㵝,U+3D5D
Extension A,㚒,U+3692
Extension A,㓵,U+34F5
Extension A,㖄,U+3584
Extension A,䮼,U+4BBC
Extension A,䣐,U+48D0
Extension A,㛮,U+36EE
Extension A,㢁,U+3881
Extension A,㟩,U+37E9
Extension A,䣊,U+48CA
Extension A,㖞,U+359E
Extension A,㓭,U+34ED
Extension A,㪣,U+3AA3
Extension A,㙾,U+367E
Extension A,㑽,U+347D
Extension A,䴲,U+4D32
Extension A,䶁,U+4D81
Extension A,䕗,U+4557
Extension A,㠮,U+382E
Extension A,䥎,U+494E
Extension A,䛑,U+46D1
Extension A,䢽,U+48BD
Extension A,䄰,U+4130
Extension A,䚐,U+4690
Extension A,䣋,U+48CB
Extension A,䔑,U+4511
Extension A,䵄,U+4D44
Extension A,㺄,U+3E84
Extension A,䓊,U+44CA
Extension A,㷮,U+3DEE
Extension A,㚏,U+368F
Extension A,䇾,U+41FE
Extension A,㔣,U+3523
Extension A,㨲,U+3A32
Extension A,㶭,U+3DAD
Extension A,㚝,U+369D
Extension A,䊸,U+42B8
Extension A,㷫,U+3DEB
Extension A,䟥,U+47E5
Extension A,䫅,U+4AC5
Extension A,㢛,U+389B
Extension A,㳳,U+3CF3
Extension A,䟫,U+47EB
Extension A,㱀,U+3C40
Extension A,㪾,U+3ABE
Extension A,䝵,U+4775
Extension A,䞟,U+479F
Extension A,㙑,U+3651
Extension A,䓫,U+44EB
Extension A,䈓,U+4213
Extension A,䬞,U+4B1E
Extension A,㲊,U+3C8A
Extension A,㼈,U+3F08
Extension A,䡐,U+4850
Extension A,䮵,U+4BB5
Extension A,㻈,U+3EC8
Extension A,㭪,U+3B6A
Extension A,㳢,U+3CE2
Extension A,㧽,U+39FD
Extension A,㭻,U+3B7B
Extension A,㬐,U+3B10
Extension A,䐌,U+440C
Extension A,㢴,U+38B4
Extension A,㮼,U+3BBC
Extension A,㦒,U+3992
Extension A,㠱,U+3831
Extension A,㕣,U+3563
Extension A,䂾,U+40BE
Extension A,䬽,U+4B3D
Extension A,䂫,U+40AB
Extension A,㗁,U+35C1
Extension A,㞾,U+37BE
Extension A,䁍,U+404D
Extension A,㣣,U+38E3
Extension A,㩳,U+3A73
Extension A,䠍,U+480D
Extension A,䮯,U+4BAF
Extension A,䥖,U+4956
Extension A,䭭,U+4B6D
Extension A,䒶,U+44B6
Extension A,㙱,U+3671
Extension A,㮴,U+3BB4
Extension A,䕦,U+4566
Extension A,䳫,U+4CEB
Extension A,䌆,U+4306
Extension A,㶢,U+3DA2
Extension A,䋵,U+42F5
Extension A,㨖,U+3A16
Extension A,㸲,U+3E32
Extension A,㖺,U+35BA
Extension A,㴧,U+3D27
Extension A,㠁,U+3801
Extension A,䯄,U+4BC4
Extension A,㒷,U+34B7
Extension A,䠀,U+4800
Extension A,䧱,U+49F1
Extension A,䱋,U+4C4B
Extension A,䃤,U+40E4
Extension A,㦱,U+39B1
Extension A,䉄,U+4244
Extension A,䖱,U+45B1
Extension A,㶷,U+3DB7
Extension A,㟈,U+37C8
Extension A,㙋,U+364B
Extension A,㧢,U+39E2
Extension A,㒿,U+34BF
Extension A,㞪,U+37AA
Extension A,䢱,U+48B1
Extension A,䓖,U+44D6
Extension A,䠚,U+481A
Extension A,䑓,U+4453
Extension A,㳵,U+3CF5
Extension A,㤺,U+393A
Extension A,㪆,U+3A86
Extension A,㡄,U+3844
Extension A,㦎,U+398E
Extension A,㰋,U+3C0B
Extension A,㰔,U+3C14
Extension A,䒉,U+4489
Extension A,㦩,U+39A9
Extension A,㭡,U+3B61
Extension A,㸯,U+3E2F
Extension A,䱃,U+4C43
Extension A,㚠,U+36A0
Extension A,㾖,U+3F96
Extension A,㦬,U+39AC
Extension A,䀤,U+4024
Extension A,㛏,U+36CF
Extension A,㚋,U+368B
Extension A,䝺,U+477A
Extension A,㐫,U+342B
Extension A,䈸,U+4238
Extension A,㤦,U+3926
Extension A,㦫,U+39AB
Extension A,䙽,U+467D
Extension A,䎀,U+4380
Extension A,䆳,U+41B3
Extension A,㒓,U+3493
Extension A,㧚,U+39DA
Extension A,䅍,U+414D
Extension A,㡸,U+3878
Extension A,㙍,U+364D
Extension A,䚯,U+46AF
Extension A,䯕,U+4BD5
Extension A,㨍,U+3A0D
Extension A,䯢,U+4BE2
Extension A,䯫,U+4BEB
Extension A,㰭,U+3C2D
Extension A,㲑,U+3C91
Extension A,䡫,U+486B
Extension A,䎚,U+439A
Extension A,㟙,U+37D9
Extension A,㻩,U+3EE9
Extension A,䰚,U+4C1A
Extension A,㳕,U+3CD5
Extension A,䚉,U+4689
Extension A,㦊,U+398A
Extension A,㚟,U+369F
Extension A,㮅,U+3B85
Extension A,䣜,U+48DC
Extension A,䧉,U+49C9
Extension A,䳪,U+4CEA
Extension A,㦷,U+39B7
Extension A,㾦,U+3FA6
Extension A,㷸,U+3DF8
Extension A,䢯,U+48AF
Extension A,㥔,U+3954
Extension A,䭼,U+4B7C
Extension A,㨾,U+3A3E
Extension A,䢀,U+4880
Extension A,䡃,U+4843
Extension A,㫘,U+3AD8
Extension A,䰙,U+4C19
Extension A,䳙,U+4CD9
Extension A,㖮,U+35AE
Extension A,㽀,U+3F40
Extension A,䡮,U+486E
Extension A,㛐,U+36D0
Extension A,㾃,U+3F83
Extension A,㼗,U+3F17
Extension A,㐮,U+342E
Extension A,䫈,U+4AC8
Extension A,㧦,U+39E6
Extension A,㤤,U+3924
Extension A,䇋,U+41CB
Extension A,䈠,U+4220
Extension A,䣎,U+48CE
Extension A,䳞,U+4CDE
Extension A,㺜,U+3E9C
Extension A,㦻,U+39BB
Extension A,㒈,U+3488
Extension A,㴴,U+3D34
Extension A,㬣,U+3B23
Extension A,䔬,U+452C
Extension A,㠪,U+382A
Extension A,㶻,U+3DBB
Extension A,䴔,U+4D14
Extension A,㮐,U+3B90
Extension A,㵾,U+3D7E
Extension A,㥙,U+3959
Extension A,䓝,U+44DD
Extension A,䕷,U+4577
Extension A,䙆,U+4646
Extension A,㧋,U+39CB
Extension A,䱕,U+4C55
Extension A,㱈,U+3C48
Extension A,㴁,U+3D01
Extension A,㘫,U+362B
Extension A,䦹,U+49B9
Extension A,䖙,U+4599
Extension A,㸫,U+3E2B
Extension A,䦽,U+49BD
Extension A,䨓,U+4A13
Extension A,㡘,U+3858
Extension A,㳗,U+3CD7
Extension A,㮳,U+3BB3
Extension A,㤌,U+390C
Extension A,㒕,U+3495
Extension A,㙕,U+3655
Extension A,䋷,U+42F7
Extension A,㫳,U+3AF3
Extension A,㔝,U+351D
Extension A,㪇,U+3A87
Extension A,㩁,U+3A41
Extension A,䲽,U+4CBD
Extension A,䳿,U+4CFF
Extension A,㟸,U+37F8
Extension A,䃮,U+40EE
Extension A,䚒,U+4692
Extension A,㥡,U+3961
Extension A,㷪,U+3DEA
Extension A,䓦,U+44E6
Extension A,㐖,U+3416
Extension A,䒾,U+44BE
Extension A,䃣,U+40E3
Extension A,㤯,U+392F
Extension A,㰰,U+3C30
Extension A,㿯,U+3FEF
Extension A,䄻,U+413B
Extension A,䎽,U+43BD
Extension A,㵶,U+3D76
Extension A,㴻,U+3D3B
Extension A,㭔,U+3B54
Extension A,䡞,U+485E
Extension A,䟈,U+47C8
Extension A,㨯,U+3A2F
Extension A,㦛,U+399B
Extension A,㡱,U+3871
Extension A,䅺,U+417A
Extension A,㡽,U+387D
Extension A,㩠,U+3A60
Extension A,䧓,U+49D3
Extension A,㟋,U+37CB
Extension A,䥈,U+4948
Extension A,㙆,U+3646
Extension A,䱚,U+4C5A
Extension A,㨞,U+3A1E
Extension A,䞗,U+4797
Extension A,㶾,U+3DBE
Extension A,㛲,U+36F2
Extension A,㚃,U+3683
Extension A,㷼,U+3DFC
Extension A,㜦,U+3726
Extension A,㻆,U+3EC6
Extension A,䅚,U+415A
Extension A,㳘,U+3CD8
Extension A,㧊,U+39CA
Extension A,䔼,U+453C
Extension A,㔦,U+3526
Extension A,䪚,U+4A9A
Extension A,㖨,U+35A8
Extension A,㥁,U+3941
Extension A,䙔,U+4654
Extension A,㵋,U+3D4B
Extension A,㼯,U+3F2F
Extension A,㲿,U+3CBF
Extension A,䛻,U+46FB
Extension A,䜰,U+4730
Extension A,㚺,U+36BA
Extension A,䇓,U+41D3
Extension A,䜉,U+4709
Extension A,䍡,U+4361
Extension A,㚓,U+3693
Extension A,㾧,U+3FA7
Extension A,㑚,U+345A
Extension A,䅓,U+4153
Extension A,䤉,U+4909
Extension A,㦐,U+3990
Extension A,㞫,U+37AB
Extension A,㺰,U+3EB0
Extension A,㷞,U+3DDE
Extension A,䌩,U+4329
Extension A,䟱,U+47F1
Extension A,䜚,U+471A
Extension A,䰵,U+4C35
Extension A,䒘,U+4498
Extension A,㙤,U+3664
Extension A,䳓,U+4CD3
