extension,char,codepoint
Extension A,㸃,U+3E03
Extension A,䥽,U+497D
Extension A,䚲,U+46B2
Extension A,䣥,U+48E5
Extension A,䑦,U+4466
Extension A,䛧,U+46E7
Extension A,䍵,U+4375
Extension A,䅖,U+4156
Extension A,㰬,U+3C2C
Extension A,㷔,U+3DD4
Extension A,㼘,U+3F18
Extension A,䈙,U+4219
Extension A,㣠,U+38E0
Extension A,㟏,U+37CF
Extension A,䤘,U+4918
Extension A,㣮,U+38EE
Extension A,䞮,U+47AE
Extension A,㺾,U+3EBE
Extension A,䑛,U+445B
Extension A,㯌,U+3BCC
Extension A,䐊,U+440A
Extension A,䌦,U+4326
Extension A,䦕,U+4995
Extension A,䫘,U+4AD8
Extension A,䊩,U+42A9
Extension A,㹦,U+3E66
Extension A,䭁,U+4B41
Extension A,䘾,U+463E
Extension A,䱼,U+4C7C
Extension A,䡰,U+4870
Extension A,㚿,U+36BF
Extension A,㲸,U+3CB8
Extension A,㦂,U+3982
Extension A,㥳,U+3973
Extension A,㬚,U+3B1A
Extension A,䃋,U+40CB
Extension A,䈽,U+423D
Extension A,䭸,U+4B78
Extension A,㮶,U+3BB6
Extension A,䁀,U+4040
Extension A,㞷,U+37B7
Extension A,㰯,U+3C2F
Extension A,㓑,U+34D1
Extension A,䧜,U+49DC
Extension A,䒮,U+44AE
Extension A,䒱,U+44B1
Extension A,㚐,U+3690
Extension A,䒊,U+448A
Extension A,䘼,U+463C
Extension A,㬋,U+3B0B
Extension A,㟝,U+37DD
Extension A,㩐,U+3A50
Extension A,㕮,U+356E
Extension A,㮲,U+3BB2
Extension A,㗇,U+35C7
Extension A,䈈,U+4208
Extension A,䎩,U+43A9
Extension A,䌇,U+4307
Extension A,㽵,U+3F75
Extension A,䀔,U+4014
Extension A,䇃,U+41C3
Extension A,㟒,U+37D2
Extension A,䔔,U+4514
Extension A,㮸,U+3BB8
Extension A,䐁,U+4401
Extension A,䋢,U+42E2
Extension A,䩮,U+4A6E
Extension A,䔾,U+453E
Extension A,䱁,U+4C41
Extension A,䣧,U+48E7
Extension A,㷯,U+3DEF
Extension A,䂂,U+4082
Extension A,䙷,U+4677
Extension A,䕛,U+455B
Extension A,㿾,U+3FFE
Extension A,㚇,U+3687
Extension A,㝙,U+3759
Extension A,䀟,U+401F
Extension A,㲮,U+3CAE
Extension A,䇏,U+41CF
Extension A,㯗,U+3BD7
Extension A,䊽,U+42BD
Extension A,䬸,U+4B38
Extension A,䏚,U+43DA
Extension A,䉲,U+4272
Extension A,䔒,U+4512
Extension A,䱬,U+4C6C
Extension A,䓅,U+44C5
Extension A,㠑,U+3811
Extension A,㧟,U+39DF
Extension A,㠒,U+3812
Extension A,䖇,U+4587
Extension A,㓏,U+34CF
Extension A,㵸,U+3D78
Extension A,㚬,U+36AC
Extension A,㚄,U+3684
Extension A,䢁,U+4881
Extension A,䨞,U+4A1E
Extension A,㶡,U+3DA1
Extension A,㐲,U+3432
Extension A,䘣,U+4623
Extension A,䀻,U+403B
Extension A,䳊,U+4CCA
Extension A,㿻,U+3FFB
Extension A,䌥,U+4325
Extension A,䙇,U+4647
Extension A,䑝,U+445D
Extension A,㣜,U+38DC
Extension A,㶀,U+3D80
Extension A,㣦,U+38E6
Extension A,䁼,U+407C
Extension A,㥚,U+395A
Extension A,䅕,U+4155
Extension A,㟔,U+37D4
Extension A,㴹,U+3D39
Extension A,㷦,U+3DE6
Extension A,㩮,U+3A6E
Extension A,䨁,U+4A01
Extension A,䊷,U+42B7
Extension A,㮈,U+3B88
Extension A,㨒,U+3A12
Extension A,䘰,U+4630
Extension A,䊄,U+4284
Extension A,㤱,U+3931
Extension A,㞲,U+37B2
Extension A,䈔,U+4214
Extension A,䙵,U+4675
Extension A,㭋,U+3B4B
Extension A,㟌,U+37CC
Extension A,䔛,U+451B
Extension A,㓈,U+34C8
Extension A,㑪,U+346A
Extension A,㚆,U+3686
Extension A,䌰,U+4330
Extension A,䁢,U+4062
Extension A,䚡,U+46A1
Extension A,㤛,U+391B
Extension A,䬱,U+4B31
Extension A,䥆,U+4946
Extension A,㷤,U+3DE4
Extension A,䙀,U+4640
Extension A,䉅,U+4245
Extension A,䗸,U+45F8
Extension A,㤁,U+3901
Extension A,㶒,U+3D92
Extension A,䃖,U+40D6
Extension A,䭃,U+4B43
Extension A,㯾,U+3BFE
Extension A,㬪,U+3B2A
Extension A,㧌,U+39CC
Extension A,䲄,U+4C84
Extension A,䭛,U+4B5B
Extension A,䡂,U+4842
Extension A,䯭,U+4BED
Extension A,㞕,U+3795
Extension A,䌸,U+4338
Extension A,䃼,U+40FC
Extension A,䌅,U+4305
Extension A,䛴,U+46F4
Extension A,㵓,U+3D53
Extension A,䡒,U+4852
Extension A,䙒,U+4652
Extension A,䨿,U+4A3F
Extension A,䏣,U+43E3
Extension A,䥒,U+4952
Extension A,㹉,U+3E49
Extension A,䡼,U+487C
Extension A,㫔,U+3AD4
Extension A,䲳,U+4CB3
Extension A,䠩,U+4829
Extension A,䎳,U+43B3
Extension A,㽝,U+3F5D
Extension A,㬎,U+3B0E
Extension A,㕯,U+356F
Extension A,䯾,U+4BFE
Extension A,㞦,U+37A6
Extension A,䴩,U+4D29
Extension A,㛀,U+36C0
Extension A,䐙,U+4419
Extension A,㱼,U+3C7C
Extension A,㩅,U+3A45
Extension A,䊾,U+42BE
Extension A,䀚,U+401A
Extension A,䣃,U+48C3
Extension A,㷡,U+3DE1
Extension A,㿛,U+3FDB
Extension A,㨁,U+3A01
Extension A,㝀,U+3740
Extension A,㴽,U+3D3D
Extension A,㒸,U+34B8
Extension A,䬍,U+4B0D
Extension A,䟔,U+47D4
Extension A,㴳,U+3D33
Extension A,㚂,U+3682
Extension A,㳅,U+3CC5
Extension A,㕿,U+357F
Extension A,㑙,U+3459
Extension A,䦡,U+49A1
Extension A,㶕,U+3D95
Extension A,䉙,U+4259
Extension A,䛳,U+46F3
Extension A,䄇,U+4107
Extension A,䕣,U+4563
Extension A,䓘,U+44D8
Extension A,䒧,U+44A7
Extension A,䊼,U+42BC
Extension A,㙔,U+3654
Extension A,㚔,U+3694
Extension A,㖩,U+35A9
Extension A,䬶,U+4B36
Extension A,䐞,U+441E
Extension A,䔙,U+4519
Extension A,㲈,U+3C88
Extension A,㤬,U+392C
Extension A,䬚,U+4B1A
Extension A,㺸,U+3EB8
Extension A,䋲,U+42F2
Extension A,䚵,U+46B5
Extension A,䨧,U+4A27
Extension A,䳁,U+4CC1
Extension A,䉦,U+4266
Extension A,㕘,U+3558
Extension A,䆷,U+41B7
Extension A,㭮,U+3B6E
Extension A,䌵,U+4335
Extension A,㮔,U+3B94
Extension A,䡆,U+4846
Extension A,㤾,U+393E
Extension A,㤨,U+3928
Extension A,䯋,U+4BCB
Extension A,䲰,U+4CB0
Extension A,㳶,U+3CF6
Extension A,㭚,U+3B5A
Extension A,䀪,U+402A
Extension A,䕸,U+4578
Extension A,䫣,U+4AE3
Extension A,㙳,U+3673
Extension A,㯇,U+3BC7
Extension A,䥙,U+4959
Extension A,㴋,U+3D0B
Extension A,㫛,U+3ADB
Extension A,㛘,U+36D8
Extension A,㕹,U+3579
Extension A,䈁,U+4201
Extension A,䗽,U+45FD
Extension A,㐻,U+343B
Extension A,䅭,U+416D
Extension A,䅳,U+4173
Extension A,䳑,U+4CD1
Extension A,䶠,U+4DA0
Extension A,㵑,U+3D51
Extension A,䞋,U+478B
Extension A,㖘,U+3598
Extension A,䉮,U+426E
Extension A,㙃,U+3643
Extension A,䙥,U+4665
Extension A,㕤,U+3564
Extension A,䡽,U+487D
Extension A,㦀,U+3980
Extension A,㗅,U+35C5
Extension A,㮕,U+3B95
Extension A,䥂,U+4942
Extension A,䫉,U+4AC9
Extension A,㻟,U+3EDF
Extension A,䌖,U+4316
Extension A,䌛,U+431B
Extension A,㗭,U+35ED
Extension A,䚾,U+46BE
Extension A,㙫,U+366B
Extension A,䤊,U+490A
Extension A,䋘,U+42D8
Extension A,䬇,U+4B07
Extension A,䢖,U+4896
Extension A,㫴,U+3AF4
Extension A,䲀,U+4C80
Extension A,䆔,U+4194
Extension A,䙅,U+4645
Extension A,㳱,U+3CF1
Extension A,㖔,U+3594
Extension A,㗛,U+35DB
Extension A,㝉,U+3749
Extension A,䟒,U+47D2
Extension A,㴱,U+3D31
Extension A,䚀,U+4680
Extension A,㪈,U+3A88
Extension A,㿖,U+3FD6
Extension A,䧺,U+49FA
Extension A,㝯,U+376F
Extension A,䬯,U+4B2F
Extension A,㽣,U+3F63
Extension A,䪫,U+4AAB
Extension A,㠇,U+3807
Extension A,㤵,U+3935
Extension A,䪰,U+4AB0
Extension A,㴾,U+3D3E
Extension A,䧚,U+49DA
Extension A,㚭,U+36AD
Extension A,㑒,U+3452
Extension A,䄧,U+4127
Extension A,䐐,U+4410
Extension A,䔸,U+4538
Extension A,䶫,U+4DAB
Extension A,䬮,U+4B2E
Extension A,䳧,U+4CE7
Extension A,㙟,U+365F
Extension A,䉷,U+4277
Extension A,㼸,U+3F38
Extension A,䈡,U+4221
Extension A,㓣,U+34E3
Extension A,䯲,U+4BF2
Extension A,㐍,U+340D
Extension A,䊋,U+428B
Extension A,䍔,U+4354
Extension A,䐏,U+440F
Extension A,䒑,U+4491
Extension A,䎷,U+43B7
Extension A,㱂,U+3C42
Extension A,䔲,U+4532
Extension A,㝢,U+3762
Extension A,䧖,U+49D6
Extension A,䁳,U+4073
Extension A,䌧,U+4327
Extension A,㛔,U+36D4
Extension A,㥈,U+3948
Extension A,䴧,U+4D27
Extension A,䄝,U+411D
Extension A,䂄,U+4084
Extension A,䘢,U+4622
Extension A,㢦,U+38A6
Extension A,㵤,U+3D64
Extension A,㒖,U+3496
Extension A,䅦,U+4166
Extension A,㮒,U+3B92
Extension A,䚶,U+46B6
Extension A,䲻,U+4CBB
Extension A,䪯,U+4AAF
Extension A,㝖,U+3756
Extension A,䜈,U+4708
Extension A,䆫,U+41AB
Extension A,㐷,U+3437
Extension A,㰸,U+3C38
Extension A,㧔,U+39D4
Extension A,䙹,U+4679
Extension A,㥽,U+397D
Extension A,㵍,U+3D4D
Extension A,䪦,U+4AA6
Extension A,㧗,U+39D7
Extension A,㑰,U+3470
Extension A,䚳,U+46B3
Extension A,㕦,U+3566
Extension A,㣼,U+38FC
Extension A,䃦,U+40E6
Extension A,㤎,U+390E
Extension A,䅩,U+4169
Extension A,䓳,U+44F3
Extension A,䂤,U+40A4
Extension A,㭸,U+3B78
Extension A,㓚,U+34DA
Extension A,䏊,U+43CA
Extension A,㰖,U+3C16
Extension A,䍽,U+437D
Extension A,㛉,U+36C9
Extension A,㭺,U+3B7A
Extension A,䛘,U+46D8
Extension A,䘵,U+4635
Extension A,䔩,U+4529
Extension A,䳥,U+4CE5
Extension A,䍖,U+4356
Extension A,䋴,U+42F4
Extension A,䤪,U+492A
Extension A,䘴,U+4634
Extension A,䭂,U+4B42
Extension A,䋑,U+42D1
Extension A,㵌,U+3D4C
Extension A,䉃,U+4243
Extension A,㮂,U+3B82
Extension A,䞦,U+47A6
Extension A,䳰,U+4CF0
Extension A,䈅,U+4205
Extension A,䣲,U+48F2
Extension A,㶪,U+3DAA
Extension A,㷕,U+3DD5
Extension A,㡇,U+3847
Extension A,䳇,U+4CC7
Extension A,䇴,U+41F4
Extension A,㧮,U+39EE
Extension A,䮄,U+4B84
Extension A,㯝,U+3BDD
Extension A,㢟,U+389F
Extension A,㻮,U+3EEE
Extension A,䖺,U+45BA
Extension A,㑄,U+3444
Extension A,㑉,U+3449
Extension A,㥾,U+397E
Extension A,䚌,U+468C
Extension A,䑥,U+4465
Extension A,䭫,U+4B6B
Extension A,㤖,U+3916
Extension A,㳎,U+3CCE
Extension A,䖚,U+459A
Extension A,䲟,U+4C9F
Extension A,䌟,U+431F
Extension A,䑐,U+4450
Extension A,䦏,U+498F
Extension A,䇎,U+41CE
Extension A,䌊,U+430A
Extension A,䧊,U+49CA
Extension A,㕂,U+3542
Extension A,䐧,U+4427
Extension A,䪴,U+4AB4
Extension A,䰢,U+4C22
Extension A,䋩,U+42E9
Extension A,㓃,U+34C3
Extension A,㞤,U+37A4
Extension A,㲪,U+3CAA
Extension A,㝽,U+377D
Extension A,䜍,U+470D
Extension A,䂥,U+40A5
Extension A,㧒,U+39D2
Extension A,㨎,U+3A0E
Extension A,㓕,U+34D5
Extension A,䙞,U+465E
Extension A,䒼,U+44BC
Extension A,㯕,U+3BD5
Extension A,㪵,U+3AB5
Extension A,㐵,U+3435
Extension A,㚶,U+36B6
Extension A,䪙,U+4A99
Extension A,㵵,U+3D75
Extension A,㛺,U+36FA
Extension A,䘸,U+4638
Extension A,䞖,U+4796
Extension A,䕠,U+4560
Extension A,䧃,U+49C3
Extension A,䬉,U+4B09
Extension A,䫼,U+4AFC
Extension A,㦭,U+39AD
Extension A,䱞,U+4C5E
Extension A,䛫,U+46EB
Extension A,䳯,U+4CEF
Extension A,㦁,U+3981
Extension A,䝯,U+476F
Extension A,㥹,U+3979
Extension A,㟢,U+37E2
Extension A,䯳,U+4BF3
Extension A,䫹,U+4AF9
Extension A,㠐,U+3810
Extension A,䍇,U+4347
Extension A,䙟,U+465F
Extension A,㣰,U+38F0
Extension A,䖌,U+458C
Extension A,䨺,U+4A3A
Extension A,䓚,U+44DA
Extension A,㵣,U+3D63
Extension A,䉴,U+4274
Extension A,㥜,U+395C
Extension A,㬺,U+3B3A
Extension A,䃥,U+40E5
Extension A,䝁,U+4741
Extension A,㭈,U+3B48
Extension A,㬈,U+3B08
Extension A,㧍,U+39CD
Extension A,䏒,U+43D2
Extension A,䮦,U+4BA6
Extension A,㸓,U+3E13
Extension A,䱹,U+4C79
Extension A,䂠,U+40A0
Extension A,㐳,U+3433
Extension A,㡕,U+3855
Extension A,䍥,U+4365
Extension A,㴆,U+3D06
Extension A,㖗,U+3597
Extension A,㘭,U+362D
Extension A,䃂,U+40C2
Extension A,㚍,U+368D
Extension A,䈛,U+421B
Extension A,㪷,U+3AB7
Extension A,㳮,U+3CEE
Extension A,䦑,U+4991
Extension A,䮇,U+4B87
Extension A,㮀,U+3B80
Extension A,䧈,U+49C8
Extension A,㪯,U+3AAF
Extension A,䭍,U+4B4D
Extension A,䤿,U+493F
Extension A,䜑,U+4711
Extension A,䜒,U+4712
Extension A,㢝,U+389D
Extension A,㥛,U+395B
Extension A,㷖,U+3DD6
Extension A,䘳,U+4633
Extension A,㨷,U+3A37
Extension A,䑴,U+4474
Extension A,䖝,U+459D
Extension A,䔂,U+4502
Extension A,䁽,U+407D
Extension A,䐫,U+442B
Extension A,㟬,U+37EC
Extension A,䞬,U+47AC
Extension A,㫶,U+3AF6
Extension A,䒚,U+449A
Extension A,䭎,U+4B4E
Extension A,㺨,U+3EA8
Extension A,䝹,U+4779
Extension A,䗎,U+45CE
Extension A,㝟,U+375F
Extension A,㑁,U+3441
Extension A,䓏,U+44CF
Extension A,㻁,U+3EC1
Extension A,䇿,U+41FF
Extension A,䆈,U+4188
Extension A,㴝,U+3D1D
Extension A,䊉,U+4289
Extension A,䨤,U+4A24
Extension A,䜴,U+4734
Extension A,㼂,U+3F02
Extension A,㯰,U+3BF0
Extension A,㵮,U+3D6E
Extension A,㡊,U+384A
Extension A,䆾,U+41BE
Extension A,䁓,U+4053
Extension A,䍀,U+4340
Extension A,㵿,U+3D7F
Extension A,㯠,U+3BE0
Extension A,㘘,U+3618
Extension A,䢢,U+48A2
Extension A,䛿,U+46FF
Extension A,㕊,U+354A
Extension A,㓙,U+34D9
Extension A,䤆,U+4906
Extension A,䦞,U+499E
Extension A,㘧,U+3627
Extension A,䟓,U+47D3
Extension A,䁈,U+4048
Extension A,䥭,U+496D
Extension A,㗋,U+35CB
Extension A,䟎,U+47CE
Extension A,㗌,U+35CC
Extension A,㶚,U+3D9A
Extension A,䔡,U+4521
Extension A,䍐,U+4350
Extension A,㶺,U+3DBA
Extension A,㒲,U+34B2
Extension A,㠚,U+381A
Extension A,䰅,U+4C05
Extension A,㝝,U+375D
Extension A,䫽,U+4AFD
Extension A,㴄,U+3D04
Extension A,㮽,U+3BBD
Extension A,㡦,U+3866
Extension A,䉾,U+427E
Extension A,䴁,U+4D01
Extension A,㐁,U+3401
Extension A,䅀,U+4140
Extension A,䱿,U+4C7F
Extension A,㺃,U+3E83
Extension A,䚓,U+4693
Extension A,䰇,U+4C07
Extension A,㟞,U+37DE
Extension A,㼲,U+3F32
Extension A,䕄,U+4544
Extension A,䊂,U+4282
Extension A,㑱,U+3471
Extension A,㷀,U+3DC0
Extension A,䧕,U+49D5
Extension A,䒳,U+44B3
Extension A,䊝,U+429D
Extension A,㺭,U+3EAD
Extension A,㩉,U+3A49
Extension A,䚋,U+468B
Extension A,䳢,U+4CE2
Extension A,㵘,U+3D58
Extension A,䍢,U+4362
Extension A,䪝,U+4A9D
Extension A,䚼,U+46BC
Extension A,䘪,U+462A
Extension A,䑋,U+444B
Extension A,㚲,U+36B2
Extension A,䂮,U+40AE
Extension A,䝭,U+476D
Extension A,㮭,U+3BAD
Extension A,䶣,U+4DA3
Extension A,䵪,U+4D6A
Extension A,㸢,U+3E22
Extension A,䒬,U+44AC
Extension A,㙎,U+364E
Extension A,㟆,U+37C6
Extension A,䏕,U+43D5
Extension A,㑊,U+344A
Extension A,䀬,U+402C
Extension A,䉟,U+425F
Extension A,䣰,U+48F0
Extension A,㚁,U+3681
Extension A,㾜,U+3F9C
Extension A,䍊,U+434A
Extension A,䓣,U+44E3
Extension A,䀅,U+4005
Extension A,䥵,U+4975
Extension A,䃕,U+40D5
Extension A,䨪,U+4A2A
Extension A,䶮,U+4DAE
Extension A,䘙,U+4619
Extension A,䒗,U+4497
Extension A,㷴,U+3DF4
Extension A,䆚,U+419A
Extension A,䀺,U+403A
Extension A,㘆,U+3606
Extension A,䝆,U+4746
Extension A,㓯,U+34EF
Extension A,䟝,U+47DD
Extension A,㟨,U+37E8
Extension A,㞂,U+3782
Extension A,㓅,U+34C5
Extension A,䵻,U+4D7B
Extension A,㖂,U+3582
Extension A,䝘,U+4758
Extension A,䘮,U+462E
Extension A,䋁,U+42C1
Extension A,㞓,U+3793
Extension A,㯢,U+3BE2
Extension A,㷏,U+3DCF
Extension A,䚗,U+4697
Extension A,㳙,U+3CD9
Extension A,㡲,U+3872
Extension A,㑮,U+346E
Extension A,䨡,U+4A21
Extension A,䨸,U+4A38
Extension A,䓋,U+44CB
Extension A,㫺,U+3AFA
Extension A,㞩,U+37A9
Extension A,䣓,U+48D3
Extension A,㮛,U+3B9B
Extension A,䱾,U+4C7E
Extension A,㢠,U+38A0
Extension A,㶑,U+3D91
Extension A,㼁,U+3F01
Extension A,㭯,U+3B6F
Extension A,䱡,U+4C61
Extension A,㫕,U+3AD5
Extension A,䲎,U+4C8E
Extension A,䯧,U+4BE7
Extension A,䐺,U+443A
Extension A,䦎,U+498E
Extension A,䫟,U+4ADF
Extension A,㐚,U+341A
Extension A,䙤,U+4664
Extension A,㢸,U+38B8
Extension A,䯺,U+4BFA
Extension A,䥧,U+4967
Extension A,䁃,U+4043
Extension A,䫺,U+4AFA
Extension A,㤋,U+390B
Extension A,䝾,U+477E
Extension A,䃧,U+40E7
Extension A,㠅,U+3805
Extension A,䃚,U+40DA
Extension A,䥊,U+494A
Extension A,䕡,U+4561
Extension A,㟻,U+37FB
Extension A,㝫,U+376B
Extension A,㞿,U+37BF
Extension A,㸔,U+3E14
Extension A,䝧,U+4767
Extension A,㗍,U+35CD
Extension A,㮖,U+3B96
Extension A,㲭,U+3CAD
Extension A,㼉,U+3F09
Extension A,䖀,U+4580
Extension A,㱢,U+3C62
Extension A,䚏,U+468F
Extension A,䁬,U+406C
Extension A,䜵,U+4735
Extension A,㥊,U+394A
Extension A,䨣,U+4A23
Extension A,㳍,U+3CCD
Extension A,䡅,U+4845
Extension A,䢚,U+489A
Extension A,䲨,U+4CA8
Extension A,䫤,U+4AE4
Extension A,㭶,U+3B76
Extension A,㷇,U+3DC7
Extension A,㙦,U+3666
Extension A,㣋,U+38CB
Extension A,㶞,U+3D9E
Extension A,䙉,U+4649
Extension A,䓧,U+44E7
Extension A,䈞,U+421E
Extension A,䌗,U+4317
Extension A,㞧,U+37A7
Extension A,㰠,U+3C20
Extension A,䌾,U+433E
Extension A,㔹,U+3539
Extension A,䶘,U+4D98
Extension A,䮨,U+4BA8
Extension A,㚻,U+36BB
Extension A,㓜,U+34DC
Extension A,䚷,U+46B7
Extension A,䢵,U+48B5
Extension A,䁑,U+4051
Extension A,㳫,U+3CEB
Extension A,䉪,U+426A
Extension A,㷘,U+3DD8
Extension A,䯝,U+4BDD
Extension A,䆐,U+4190
Extension A,䣞,U+48DE
Extension A,㮃,U+3B83
Extension A,䓗,U+44D7
Extension A,䚃,U+4683
Extension A,㣔,U+38D4
Extension A,㢡,U+38A1
Extension A,㬰,U+3B30
Extension A,䠢,U+4822
Extension A,䍾,U+437E
Extension A,㗵,U+35F5
Extension A,䃰,U+40F0
Extension A,㱣,U+3C63
Extension A,㬩,U+3B29
Extension A,䚱,U+46B1
Extension A,㻂,U+3EC2
Extension A,䎝,U+439D
Extension A,䇍,U+41CD
Extension A,㤰,U+3930
Extension A,㪐,U+3A90
Extension A,㿣,U+3FE3
Extension A,䂓,U+4093
Extension A,䎕,U+4395
Extension A,䮽,U+4BBD
Extension A,䓁,U+44C1
Extension A,䅷,U+4177
Extension A,㦾,U+39BE
Extension A,䏞,U+43DE
Extension A,㷠,U+3DE0
Extension A,㔊,U+350A
Extension A,䊓,U+4293
Extension A,䩨,U+4A68
Extension A,㑞,U+345E
Extension A,䄜,U+411C
Extension A,㞯,U+37AF
Extension A,䴢,U+4D22
Extension A,㸋,U+3E0B
Extension A,䋻,U+42FB
Extension A,㱗,U+3C57
Extension A,䶞,U+4D9E
Extension A,㫱,U+3AF1
Extension A,㗊,U+35CA
Extension A,䊹,U+42B9
Extension A,䤜,U+491C
Extension A,䒀,U+4480
Extension A,㫍,U+3ACD
Extension A,㚥,U+36A5
Extension A,䛬,U+46EC
Extension A,㪼,U+3ABC
Extension A,㝩,U+3769
Extension A,䮾,U+4BBE
Extension A,䎢,U+43A2
Extension A,㜥,U+3725
Extension A,㫵,U+3AF5
Extension A,䉔,U+4254
Extension A,㴀,U+3D00
Extension A,㟺,U+37FA
Extension A,䩤,U+4A64
Extension A,㰙,U+3C19
Extension A,䘩,U+4629
Extension A,䦖,U+4996
Extension A,䂖,U+4096
Extension A,䅮,U+416E
Extension A,㡬,U+386C
Extension A,䥩,U+4969
Extension A,䙑,U+4651
Extension A,䁌,U+404C
Extension A,㝄,U+3744
Extension A,㸌,U+3E0C
Extension A,㸊,U+3E0A
Extension A,㤜,U+391C
Extension A,䏠,U+43E0
Extension A,㰴,U+3C34
Extension A,㼬,U+3F2C
Extension A,㮊,U+3B8A
Extension A,䛈,U+46C8
Extension A,䘱,U+4631
Extension A,㼓,U+3F13
Extension A,䈉,U+4209
Extension A,䮘,U+4B98
Extension A,㖽,U+35BD
Extension A,㷿,U+3DFF
Extension A,㠧,U+3827
Extension A,㳚,U+3CDA
Extension A,㺎,U+3E8E
Extension A,䍚,U+435A
Extension A,䙼,U+467C
Extension A,㑗,U+3457
Extension A,䠷,U+4837
Extension A,㩈,U+3A48
Extension A,䛶,U+46F6
Extension A,㫥,U+3AE5
Extension A,䛌,U+46CC
Extension A,䋂,U+42C2
Extension A,䈶,U+4236
Extension A,䛏,U+46CF
Extension A,䴕,U+4D15
Extension A,㗲,U+35F2
Extension A,䭿,U+4B7F
Extension A,䁥,U+4065
Extension A,䕰,U+4570
Extension A,䣄,U+48C4
Extension A,䜖,U+4716
Extension A,䐷,U+4437
Extension A,䘘,U+4618
Extension A,䢋,U+488B
Extension A,㧼,U+39FC
Extension A,㨺,U+3A3A
Extension A,㷥,U+3DE5
Extension A,䛲,U+46F2
Extension A,㢕,U+3895
Extension A,㢈,U+3888
Extension A,㖒,U+3592
Extension A,䡌,U+484C
Extension A,㜱,U+3731
Extension A,㠞,U+381E
Extension A,䕆,U+4546
Extension A,㸪,U+3E2A
Extension A,㢞,U+389E
Extension A,䛾,U+46FE
Extension A,㸙,U+3E19
Extension A,䞨,U+47A8
Extension A,䄐,U+4110
Extension A,䥝,U+495D
Extension A,䢟,U+489F
Extension A,䄷,U+4137
Extension A,㰊,U+3C0A
Extension A,䇹,U+41F9
Extension A,㼻,U+3F3B
Extension A,䨰,U+4A30
Extension A,㻪,U+3EEA
Extension A,䋃,U+42C3
Extension A,㪀,U+3A80
Extension A,䁺,U+407A
Extension A,䩴,U+4A74
Extension A,㭠,U+3B60
Extension A,㔜,U+351C
Extension A,䈇,U+4207
Extension A,䅇,U+4147
Extension A,㪤,U+3AA4
Extension A,䒃,U+4483
Extension A,㫅,U+3AC5
Extension A,䓑,U+44D1
Extension A,䨘,U+4A18
Extension A,䄸,U+4138
Extension A,䃛,U+40DB
Extension A,㗉,U+35C9
Extension A,䇇,U+41C7
Extension A,䆂,U+4182
Extension A,㖹,U+35B9
Extension A,㶶,U+3DB6
Extension A,㠗,U+3817
Extension A,䕳,U+4573
Extension A,㙻,U+367B
Extension A,䬲,U+4B32
Extension A,㟿,U+37FF
Extension A,䡋,U+484B
Extension A,㷶,U+3DF6
Extension A,㵄,U+3D44
Extension A,䄈,U+4108
Extension A,䋍,U+42CD
Extension A,䶢,U+4DA2
Extension A,䅪,U+416A
Extension A,䟿,U+47FF
Extension A,㪻,U+3ABB
Extension A,䠂,U+4802
Extension A,㴈,U+3D08
Extension A,䱣,U+4C63
Extension A,㻎,U+3ECE
Extension A,䇰,U+41F0
Extension A,䙾,U+467E
Extension A,㽛,U+3F5B
Extension A,䈺,U+423A
Extension A,䛸,U+46F8
Extension A,㥪,U+396A
Extension A,䀒,U+4012
Extension A,㬙,U+3B19
Extension A,㶥,U+3DA5
Extension A,䋊,U+42CA
Extension A,㯏,U+3BCF
Extension A,㩗,U+3A57
Extension A,䰳,U+4C33
Extension A,㤈,U+3908
Extension A,䊵,U+42B5
Extension A,䔳,U+4533
Extension A,䁋,U+404B
Extension A,䫐,U+4AD0
Extension A,䒢,U+44A2
Extension A,䤯,U+492F
Extension A,㛃,U+36C3
Extension A,䭳,U+4B73
Extension A,㕢,U+3562
Extension A,㭬,U+3B6C
Extension A,㘻,U+363B
Extension A,㘶,U+3636
Extension A,䕀,U+4540
Extension A,㠦,U+3826
Extension A,㥀,U+3940
Extension A,㻗,U+3ED7
Extension A,㜉,U+3709
Extension A,䗡,U+45E1
Extension A,㡫,U+386B
Extension A,㡌,U+384C
Extension A,䤨,U+4928
Extension A,㤚,U+391A
Extension A,䢞,U+489E
Extension A,䋚,U+42DA
Extension A,㢰,U+38B0
Extension A,䁣,U+4063
Extension A,䓀,U+44C0
Extension A,䀳,U+4033
Extension A,䕺,U+457A
Extension A,䅽,U+417D
Extension A,䋡,U+42E1
Extension A,㠘,U+3818
Extension A,䙐,U+4650
Extension A,㐌,U+340C
Extension A,䡄,U+4844
Extension A,㤧,U+3927
Extension A,䙯,U+466F
Extension A,㢧,U+38A7
Extension A,㵟,U+3D5F
Extension A,䞳,U+47B3
Extension A,䓾,U+44FE
Extension A,㧐,U+39D0
Extension A,㸾,U+3E3E
Extension A,䀛,U+401B
Extension A,䅾,U+417E
Extension A,䍺,U+437A
Extension A,䌿,U+433F
Extension A,㘋,U+360B
Extension A,㐭,U+342D
Extension A,䙙,U+4659
Extension A,㪚,U+3A9A
Extension A,䓿,U+44FF
Extension A,㰿,U+3C3F
Extension A,䪗,U+4A97
Extension A,䲡,U+4CA1
Extension A,㽥,U+3F65
Extension A,䇮,U+41EE
Extension A,㴡,U+3D21
Extension A,㦙,U+3999
Extension A,䌬,U+432C
