Extension A,㸁,"han4,ran3",U+3E01
Extension A,㱑,sui4,U+3C51
Extension A,㞹,ke3,U+37B9
Extension A,䤞,yun3,U+491E
Extension A,㪊,qun2,U+3A8A
Extension A,㸒,"yin2,jing1",U+3E12
Extension A,䠛,yao2,U+481B
Extension A,㒂,zhuo2,U+3482
Extension A,㭎,gang1,U+3B4E
Extension A,㥐,yuan4,U+3950
Extension A,䕅,sao3,U+4545
Extension A,䩅,"zhan3,nan3",U+4A45
Extension A,䀵,shun4,U+4035
Extension A,䭽,qun2,U+4B7D
Extension A,㕐,"xie3,xie4",U+3550
Extension A,䮴,"deng4,teng1",U+4BB4
Extension A,䌈,ta4,U+4308
Extension A,㠜,ni4,U+381C
Extension A,㜁,,U+3701
Extension A,䢍,fang3,U+488D
Extension A,㹋,xiu1,U+3E4B
Extension A,㸈,"jiao1,qiao2",U+3E08
Extension A,䦻,zi3,U+49BB
Extension A,㶁,"guo2,huo4",U+3D81
Extension A,䔏,chou4,U+450F
Extension A,㟣,,U+37E3
Extension A,䙦,meng2,U+4666
Extension A,㞳,dou3,U+37B3
Extension A,㜣,"ran2,ran3",U+3723
Extension A,㛊,duo3,U+36CA
Extension A,㛓,xi1,U+36D3
Extension A,㣑,rong2,U+38D1
Extension A,䔶,"ti2,tai2",U+4536
Extension A,䰛,li4,U+4C1B
Extension A,㔶,"gong4,gan3",U+3536
Extension A,㼒,tang3,U+3F12
Extension A,㑑,"ji4,lan3",U+3451
Extension A,㴠,han2,U+3D20
Extension A,㡯,du4,U+386F
Extension A,䦳,xiang4,U+49B3
Extension A,㬑,huo4,U+3B11
Extension A,㝓,ke4,U+3753
Extension A,䦯,zhi4,U+49AF
Extension A,䛪,qiong2,U+46EA
Extension A,㑐,shu1,U+3450
Extension A,䃷,ying2,U+40F7
Extension A,䟧,tian2,U+47E7
Extension A,㲃,jiu4,U+3C83
Extension A,䗢,zao3,U+45E2
Extension A,䈮,ju4,U+422E
Extension A,䡬,man4,U+486C
Extension A,㷭,feng1,U+3DED
Extension A,䄠,shan4,U+4120
Extension A,㡹,ju1,U+3879
Extension A,㵅,"tan1,tan4",U+3D45
Extension A,㥬,pang2,U+396C
Extension A,㳣,,U+3CE3
Extension A,㣯,xie4,U+38EF
Extension A,㭨,ye1,U+3B68
Extension A,㑯,xu3,U+346F
Extension A,䁐,"ying1,ying4",U+4050
Extension A,䔍,du3,U+450D
Extension A,㵗,ping2,U+3D57
Extension A,䞭,"cun1,qiu4",U+47AD
Extension A,㓉,huo2,U+34C9
Extension A,㓤,qia4,U+34E4
Extension A,㥟,xie2,U+395F
Extension A,㾰,hu2,U+3FB0
Extension A,䯡,jian4,U+4BE1
Extension A,㩫,,U+3A6B
Extension A,䚚,xian3,U+469A
Extension A,㸚,li3,U+3E1A
Extension A,㧂,tian2,U+39C2
Extension A,㤮,guang4,U+392E
Extension A,㳿,"xie4,yi4",U+3CFF
Extension A,㛥,ta4,U+36E5
Extension A,㛬,lu4,U+36EC
Extension A,䁁,liang4,U+4041
Extension A,㻠,tu2,U+3EE0
Extension A,䬴,mo4,U+4B34
Extension A,䦭,hang1,U+49AD
Extension A,䳩,yao1,U+4CE9
